p_in,p_out,F
-15,8.54,1500
-14,9.58,1500
-13,10.64,1500
-12,11.63,1500
-11,12.67,1500
-10,13.69,1500
-9,14.71,1500
-8,15.64,1500
-7,16.61,1500
-6,17.38,1500
-5,18.14,1500
-4,18.89,1500
-3,19.37,1500
-2,19.96,1500
-1,20.44,1500
0,20.42,1500
1,20.49,1500
2,20.47,1500
3,20.43,1500
-15,7.96,2000
-14,9.06,2000
-13,10.11,2000
-12,11.11,2000
-11,12.16,2000
-10,13.22,2000
-9,14.16,2000
-8,15.08,2000
-7,16.01,2000
-6,16.84,2000
-5,17.51,2000
-4,18.22,2000
-3,18.89,2000
-2,19.33,2000
-1,19.59,2000
0,19.51,2000
1,19.56,2000
2,19.59,2000
3,19.49,2000
-15,6.72,2500
-14,7.79,2500
-13,8.72,2500
-12,9.73,2500
-11,10.79,2500
-10,11.82,2500
-9,12.81,2500
-8,13.76,2500
-7,14.82,2500
-6,15.62,2500
-5,16.54,2500
-4,17.33,2500
-3,17.96,2500
-2,18.55,2500
-1,19.03,2500
0,19.14,2500
1,19.22,2500
2,19.27,2500
3,19.31,2500
