p_in,p_out,F
-15,6.27,1500
-14,7.21,1500
-13,8.28,1500
-12,9.23,1500
-11,10.23,1500
-10,11.1,1500
-9,11.94,1500
-8,12.71,1500
-7,13.52,1500
-6,14.22,1500
-5,14.76,1500
-4,15.19,1500
-3,15.24,1500
-2,15.2,1500
-1,15.23,1500
0,15.25,1500
1,15.26,1500
2,15.25,1500
3,15.29,1500
-15,4.95,2000
-14,5.99,2000
-13,6.82,2000
-12,7.82,2000
-11,8.72,2000
-10,9.67,2000
-9,10.57,2000
-8,11.31,2000
-7,12.21,2000
-6,13.05,2000
-5,13.93,2000
-4,14.66,2000
-3,14.8,2000
-2,14.86,2000
-1,14.84,2000
0,14.76,2000
1,14.84,2000
2,14.78,2000
3,14.89,2000
-15,4.92,2500
-14,5.97,2500
-13,6.82,2500
-12,7.81,2500
-11,8.71,2500
-10,9.52,2500
-9,10.46,2500
-8,11.4,2500
-7,12.21,2500
-6,12.97,2500
-5,13.74,2500
-4,14.27,2500
-3,14.23,2500
-2,14.33,2500
-1,14.25,2500
0,14.37,2500
1,14.23,2500
2,14.29,2500
3,14.21,2500
