p_in,p_out,F
-15,7.58,1500
-14,8.6,1500
-13,9.59,1500
-12,10.56,1500
-11,11.74,1500
-10,12.54,1500
-9,13.64,1500
-8,14.6,1500
-7,15.61,1500
-6,16.6,1500
-5,17.49,1500
-4,18.28,1500
-3,19.11,1500
-2,19.77,1500
-1,20.36,1500
0,20.8,1500
1,21,1500
2,20.98,1500
3,21.07,1500
-15,5.83,2000
-14,6.78,2000
-13,7.84,2000
-12,8.83,2000
-11,9.85,2000
-10,10.92,2000
-9,11.88,2000
-8,12.87,2000
-7,13.88,2000
-6,14.87,2000
-5,15.84,2000
-4,16.66,2000
-3,17.56,2000
-2,18.31,2000
-1,19.05,2000
0,19.58,2000
1,20.08,2000
2,20.15,2000
3,20.14,2000
-15,4.52,2500
-14,5.46,2500
-13,6.61,2500
-12,7.53,2500
-11,8.59,2500
-10,9.54,2500
-9,10.55,2500
-8,11.6,2500
-7,12.6,2500
-6,13.51,2500
-5,14.46,2500
-4,15.42,2500
-3,16.3,2500
-2,17.2,2500
-1,17.94,2500
0,18.63,2500
1,19.2,2500
2,19.81,2500
3,19.9,2500
