p_in,p_out,F
-15,8.83,1500
-14,9.83,1500
-13,10.8,1500
-12,11.77,1500
-11,12.83,1500
-10,13.7,1500
-9,14.62,1500
-8,15.59,1500
-7,16.28,1500
-6,16.99,1500
-5,17.67,1500
-4,18.16,1500
-3,18.48,1500
-2,18.41,1500
-1,18.48,1500
0,18.46,1500
1,18.42,1500
2,18.39,1500
3,18.38,1500
-15,7.93,2000
-14,9.01,2000
-13,9.96,2000
-12,11.03,2000
-11,11.94,2000
-10,12.98,2000
-9,13.84,2000
-8,14.76,2000
-7,15.62,2000
-6,16.3,2000
-5,16.97,2000
-4,17.7,2000
-3,18.13,2000
-2,18.15,2000
-1,18.21,2000
0,18.16,2000
1,18.21,2000
2,18.24,2000
3,18.09,2000
-15,6.04,2500
-14,7.1,2500
-13,8,2500
-12,8.89,2500
-11,9.8,2500
-10,10.83,2500
-9,11.81,2500
-8,12.71,2500
-7,13.61,2500
-6,14.43,2500
-5,15.32,2500
-4,16.07,2500
-3,16.89,2500
-2,17.52,2500
-1,17.73,2500
0,17.7,2500
1,17.65,2500
2,17.71,2500
3,17.67,2500
